"timeid","DFG_year","plot_id","var","rep","nitrogen","appl","TT","trait","group","g","trt","part","BBCH","Trait","Das","Acc_Radiation","namCombine"
"Early","DFG2019",53,"Apertus","2","176","Combined",1231.0875,"LAI","2019-05-07","Combined_176_Early","Combined 176",NA,NA,3.08,194,1281.29256,"LAI"
"Early","DFG2019",39,"Patras","2","176","Split",1231.0875,"LAI","2019-05-07","Split_176_Early","Split 176",NA,NA,3.58,194,1281.29256,"LAI"
"Early","DFG2019",32,"Capone","1","220","Split",1231.0875,"LAI","2019-05-07","Split_220_Early","Split 220",NA,NA,3.42,194,1281.29256,"LAI"
"Early","DFG2019",8,"Patras","1","176","Split",1231.0875,"LAI","2019-05-07","Split_176_Early","Split 176",NA,NA,4.27,194,1281.29256,"LAI"
"Early","DFG2019",26,"Patras","1","176","Combined",1231.0875,"LAI","2019-05-07","Combined_176_Early","Combined 176",NA,NA,3.37,194,1281.29256,"LAI"
"Early","DFG2019",37,"Pionier","2","176","Split",1231.0875,"LAI","2019-05-07","Split_176_Early","Split 176",NA,NA,4.11,194,1281.29256,"LAI"
"Early","DFG2019",75,"Pionier","3","220","Combined",1231.0875,"LAI","2019-05-07","Combined_220_Early","Combined 220",NA,NA,3.54,194,1281.29256,"LAI"
"Early","DFG2019",6,"Pionier","1","176","Split",1231.0875,"LAI","2019-05-07","Split_176_Early","Split 176",NA,NA,4.56,194,1281.29256,"LAI"
"Early","DFG2019",74,"Patras","3","220","Combined",1231.0875,"LAI","2019-05-07","Combined_220_Early","Combined 220",NA,NA,2.64,194,1281.29256,"LAI"
"Early","DFG2019",2,"Capone","1","220","Combined",1231.0875,"LAI","2019-05-07","Combined_220_Early","Combined 220",NA,NA,3.06,194,1281.29256,"LAI"
"Early","DFG2019",4,"Patras","1","220","Combined",1231.0875,"LAI","2019-05-07","Combined_220_Early","Combined 220",NA,NA,2.76,194,1281.29256,"LAI"
"Early","DFG2019",29,"Apertus","1","220","Split",1231.0875,"LAI","2019-05-07","Split_220_Early","Split 220",NA,NA,3.65,194,1281.29256,"LAI"
"Early","DFG2019",65,"Pionier","3","176","Combined",1231.0875,"LAI","2019-05-07","Combined_176_Early","Combined 176",NA,NA,2.82,194,1281.29256,"LAI"
"Early","DFG2019",68,"Patras","3","176","Combined",1231.0875,"LAI","2019-05-07","Combined_176_Early","Combined 176",NA,NA,2.98,194,1281.29256,"LAI"
"Early","DFG2019",51,"Capone","2","220","Combined",1231.0875,"LAI","2019-05-07","Combined_220_Early","Combined 220",NA,NA,2.68,194,1281.29256,"LAI"
"Early","DFG2019",82,"Pionier","3","176","Split",1231.0875,"LAI","2019-05-07","Split_176_Early","Split 176",NA,NA,3.61,194,1281.29256,"LAI"
"Early","DFG2019",38,"Capone","2","176","Split",1231.0875,"LAI","2019-05-07","Split_176_Early","Split 176",NA,NA,3.95,194,1281.29256,"LAI"
"Early","DFG2019",40,"Apertus","2","176","Split",1231.0875,"LAI","2019-05-07","Split_176_Early","Split 176",NA,NA,4.03,194,1281.29256,"LAI"
"Early","DFG2019",50,"Apertus","2","220","Combined",1231.0875,"LAI","2019-05-07","Combined_220_Early","Combined 220",NA,NA,3.55,194,1281.29256,"LAI"
"Early","DFG2019",30,"Patras","1","220","Split",1231.0875,"LAI","2019-05-07","Split_220_Early","Split 220",NA,NA,3.6,194,1281.29256,"LAI"
"Early","DFG2019",47,"Capone","2","220","Split",1231.0875,"LAI","2019-05-07","Split_220_Early","Split 220",NA,NA,4.1,194,1281.29256,"LAI"
"Early","DFG2019",52,"Patras","2","220","Combined",1231.0875,"LAI","2019-05-07","Combined_220_Early","Combined 220",NA,NA,2.88,194,1281.29256,"LAI"
"Early","DFG2019",76,"Apertus","3","220","Combined",1231.0875,"LAI","2019-05-07","Combined_220_Early","Combined 220",NA,NA,2.18,194,1281.29256,"LAI"
"Early","DFG2019",45,"Pionier","2","220","Split",1231.0875,"LAI","2019-05-07","Split_220_Early","Split 220",NA,NA,3.94,194,1281.29256,"LAI"
"Early","DFG2019",5,"Apertus","1","176","Split",1231.0875,"LAI","2019-05-07","Split_176_Early","Split 176",NA,NA,3.32,194,1281.29256,"LAI"
"Early","DFG2019",55,"Capone","2","176","Combined",1231.0875,"LAI","2019-05-07","Combined_176_Early","Combined 176",NA,NA,2.89,194,1281.29256,"LAI"
"Early","DFG2019",46,"Apertus","2","220","Split",1231.0875,"LAI","2019-05-07","Split_220_Early","Split 220",NA,NA,3.03,194,1281.29256,"LAI"
"Early","DFG2019",31,"Pionier","1","220","Split",1231.0875,"LAI","2019-05-07","Split_220_Early","Split 220",NA,NA,3.74,194,1281.29256,"LAI"
"Early","DFG2019",66,"Apertus","3","176","Combined",1231.0875,"LAI","2019-05-07","Combined_176_Early","Combined 176",NA,NA,2.78,194,1281.29256,"LAI"
"Early","DFG2019",56,"Pionier","2","176","Combined",1231.0875,"LAI","2019-05-07","Combined_176_Early","Combined 176",NA,NA,2.82,194,1281.29256,"LAI"
