"DFG_year","timeid","var","nitrogen","appl","rep","GLA50","S","TT59","TT55","TT61","GCD59","GCD61","GCD55","LAImax59","LAImaxTT59","LAImax61","LAImaxTT61","LAImax55","LAImaxTT55","TT87","LAD59","LAD61","LAD55","GCD87"
"DFG2021","Early","Apertus","176","Split","3",2199.94064290266,22.6152974643921,1704.15692118325,1617.36471741975,1679.35416666667,495.783721719409,520.586476235991,582.575925482908,4.12,1566.5875,4.12,1566.5875,4.12,1566.5875,2365.24583333333,1992.56553812986,2094.48352446254,2349.49642582047,165.305190430669
"DFG2021","Early","Apertus","220","Combined","1",2255.84693501018,31.5746641140006,1684.5055277935,1588.66497992592,1644.9375,571.341407216677,610.909435010181,667.181955084259,4.99,1679.35416666667,4.96,1548.1125,4.96,1548.1125,2437.55833333333,2836.54011445267,3015.73051512064,3294.83428407835,181.711398323149
"DFG2021","Early","Apertus","220","Combined","2",2237.71886684439,24.5318788820394,1712.74519807344,1626.87648299573,1679.35416666667,524.973668770946,558.364700177716,610.842383848655,5.33,1697.2125,4.46,1566.5875,4.46,1566.5875,2365.24583333333,2708.5526813893,2415.20033667177,2649.10841038463,127.526966488944
"DFG2021","Early","Apertus","220","Combined","3",2270.59536399077,29.4530279030176,1718.38167957702,1620.3941626141,1679.35416666667,552.21368441375,591.241197324101,650.201201376671,4.89,1718.225,4.77,1566.5875,4.77,1566.5875,2500.4,2697.05810180961,2816.99694266613,3098.21198551855,229.804636009229
"DFG2021","Early","Apertus","220","Split","1",2281.39920612537,36.4676389975909,1684.28428023585,1587.46140546869,1679.35416666667,597.114925889521,602.045039458703,693.937800656684,5.18,1548.1125,5.18,1548.1125,5.18,1548.1125,2437.55833333333,3077.18157613141,3102.71918574654,3578.72082297951,156.159127207957
"DFG2021","Early","Apertus","220","Split","2",2262.62300379656,41.3480751065779,1696.13886980479,1600.9249352687,1679.35416666667,566.484133991762,583.268837129887,661.698068527858,5.23,1566.5875,5.23,1566.5875,5.23,1566.5875,2437.55833333333,2959.89508945358,3047.67860538592,3457.86268755096,174.935329536773
"DFG2021","Early","Apertus","220","Split","3",2251.53080199914,37.7754801432881,1687.10036461257,1598.04037557332,1644.9375,564.430437386564,606.593301999137,653.490426425813,4.47,1354.5375,4.47,1354.5375,4.47,1354.5375,2365.24583333333,2493.03125528078,2681.49702016762,2891.12626116953,113.715031334194
"DFG2021","Early","Capone","176","Combined","1",2285.0737200567,49.0324501426226,1686.12039482022,1598.01826943466,1679.35416666667,598.953325236478,605.719553390031,687.05545062204,3.77,1548.1125,3.77,1548.1125,3.77,1548.1125,2365.24583333333,2232.51026357475,2258.01893551657,2564.65523642748,80.1721132766293
"DFG2021","Early","Capone","176","Combined","2",2294.9777057598,43.6892704626629,1696.24268392039,1603.85545460989,1679.35416666667,598.735021839414,615.623539093134,691.122251149915,3.71,1417.54166666667,3.71,1417.54166666667,3.71,1417.54166666667,2437.55833333333,2213.94638489529,2276.6026906542,2556.70276818034,142.580627573527
"DFG2021","Early","Capone","176","Combined","3",2291.76534896402,42.1763181270748,1708.50056647831,1615.50713437434,1679.35416666667,583.264782485715,612.411182297354,676.258214589689,4.42,1566.5875,4.42,1566.5875,4.42,1566.5875,2437.55833333333,2568.67158423283,2697.49828896914,2979.70188987223,145.792984369306
