"DFG_year","timeid","var","nitrogen","appl","GLA50","S","TT59","TT55","TT61","GCD59","GCD61","GCD55","LAImax59","LAImaxTT59","LAImax61","LAImaxTT61","LAImax55","LAImaxTT55","TT87","LAD59","LAD61","LAD55","GCD87"
"DFG2019","Early","Patras","220","Combined",2213.57761354232,115.091631907141,1759.60401464174,1657.46987206449,1781.2125,453.973598900581,432.365113542322,556.107741477827,5.85,1642.52916666667,7.05,1781.2125,5.85,1642.52916666667,2532.5,2657.3537637555,3050.11214992474,3254.83849797694,318.922386457678
"DFG2019","Early","Patras","220","Split",2215.91481106956,119.427920321462,1766.00648430998,1663.17395947596,1781.2125,449.908326759582,434.702311069564,552.740851593603,6.46,1504.98333333333,6.95,1781.2125,6.46,1504.98333333333,2532.5,2908.05881375313,3022.95731719076,3572.35692417037,316.585188930436
"DFG2019","Early","Pionier","176","Combined",2217.36879144568,95.8110831489906,1777.34320342579,1676.26335662359,1781.2125,440.025588019891,436.156291445682,541.105434822092,5.03,1642.52916666667,5.56,1781.2125,5.03,1642.52916666667,2532.5,2215.32714778101,2427.23799171096,2723.75877714453,315.131208554318
"DFG2019","Early","Pionier","176","Split",2216.14273576167,104.7910229652,1780.65375001545,1680.37872474363,1781.2125,435.488985746221,434.930235761667,535.764011018042,6.84,1504.98333333333,7.11,1781.2125,6.84,1504.98333333333,2532.5,2981.01543025367,3094.71437958449,3666.89660312954,316.357264238333
"DFG2019","Early","Pionier","220","Combined",2260.38325518375,69.0748222185818,1769.67025570305,1667.37437702297,1781.2125,490.712999480703,479.170755183752,593.008878160779,7.12,1642.52916666667,7.37,1781.2125,7.12,1642.52916666667,2532.5,3499.32332670528,3537.1264899122,4227.669974677,272.116744816248
"DFG2019","Early","Pionier","220","Split",2251.55635030006,67.1416135214924,1778.00413349568,1677.93006320868,1781.2125,473.552216804377,470.343850300059,573.626287091382,7.32,1642.52916666667,7.69,1781.2125,7.32,1642.52916666667,2532.5,3472.313298822,3623.1540677068,4204.85546938336,280.943649699941
"DFG2019","Late","Apertus","176","Combined",2100.55117393116,111.24508365462,1661.35971275515,1564.48311042342,1667.01666666667,439.191461176007,433.534507264488,536.068063507736,5.06,1365.39583333333,5.6,1667.01666666667,5.06,1365.39583333333,2418.30416666667,2223.72167491504,2429.35690385176,2713.91728287179,317.752992735512
"DFG2019","Late","Apertus","176","Split",2099.37532500993,109.202878760119,1670.69565569729,1573.49926834542,1667.01666666667,428.679669312643,432.358658343262,525.87605666451,6.77,1667.01666666667,6.77,1667.01666666667,5.56,1528.33333333333,2418.30416666667,2904.12198580473,2929.02874154051,2925.4810776374,318.928841656738
"DFG2019","Late","Apertus","220","Combined",2121.01850959038,90.6462611702587,1666.15433569185,1569.21014116499,1667.01666666667,454.864173898535,454.001842923713,551.808368425394,6.48,1528.33333333333,7.13,1667.01666666667,6.48,1528.33333333333,2418.30416666667,2950.27052515777,3240.05973514761,3578.46890565316,297.285657076287
"DFG2019","Late","Apertus","220","Split",2121.01933109815,77.4985472682757,1658.47425591969,1560.08304075424,1667.01666666667,462.545075178466,454.002664431483,560.936290343911,7.19,1528.33333333333,7.27,1667.01666666667,7.19,1528.33333333333,2418.30416666667,3329.8678623997,3304.81452679395,4037.3006986478,297.284835568517
"DFG2019","Late","Capone","176","Combined",2128.40392602921,61.8468051868099,1670.93541476272,1573.62917447495,1667.01666666667,457.468511266487,461.38725936254,554.774751554256,5.24,1667.01666666667,5.24,1667.01666666667,4.49,1528.33333333333,2418.30416666667,2401.85531785836,2422.38955182805,2494.9832982596,289.90024063746
"DFG2019","Late","Capone","176","Split",2129.59028137959,76.5711348838018,1671.18009833185,1573.84380438386,1667.01666666667,458.410183047743,462.573614712923,555.746476995734,6.16,1667.01666666667,6.16,1667.01666666667,5.21,1528.33333333333,2418.30416666667,2827.47618799007,2853.12292684463,2898.5426975527,288.713885287077
"DFG2019","Late","Capone","220","Combined",2161.490800148,37.6720183759613,1674.76991398713,1577.7568845504,1667.01666666667,486.720886160871,494.474133481329,583.733915597595,6.64,1667.01666666667,6.64,1667.01666666667,5.53,1528.33333333333,2418.30416666667,3242.16415529953,3293.64255337062,3236.64347671451,256.813366518671
"DFG2019","Late","Capone","220","Split",2132.71094234406,69.5644027571846,1668.34438690329,1571.26321066762,1667.01666666667,464.366555440768,465.694275677391,561.447731676439,6.89,1667.01666666667,6.89,1667.01666666667,6.72,1528.33333333333,2418.30416666667,3204.44284646531,3213.59083854026,3777.7637175245,285.593224322609
"DFG2019","Late","Patras","176","Combined",2090.57322376506,250,1645.81948995753,1547.30789209496,1667.01666666667,444.753733807532,423.556557098387,543.265331670094,5.04,1390.7875,6.41,1667.01666666667,5.04,1390.7875,2418.30416666667,2241.83613287688,2715.35022656285,2738.3345860028,327.730942901613
"DFG2019","Late","Patras","176","Split",2089.45315044738,250,1662.13049818762,1564.38462623696,1667.01666666667,427.322652259767,422.436483780714,525.068524210424,5.82,1528.33333333333,7.36,1667.01666666667,5.82,1528.33333333333,2418.30416666667,2487.33789681564,3109.53727065606,3056.21887141977,328.851016219286
"DFG2019","Late","Patras","220","Combined",2108.11546057634,110.44952098944,1661.26463604036,1562.50702210325,1667.01666666667,446.850824535977,441.098793909667,545.608438473083,6.51,1528.33333333333,7.1,1667.01666666667,6.51,1528.33333333333,2418.30416666667,2910.84953529325,3133.81982995641,3553.76160198931,310.188706090333
